fecha,d_open,d_high,d_low,d_close,asia_high,asia_low,londres_high,londres_low,ny_high,ny_low,asia_rango_p
2026-01-02,1.17464,1.17649,1.17132,1.17199,1.17649,1.17413,1.17468,1.17132,1.17542,1.17141,23.6
2026-01-05,1.17107,1.17286,1.16588,1.17184,1.17126,1.16721,1.16948,1.16698,1.17286,1.16588,40.5
2026-01-06,1.17185,1.17428,1.16837,1.16879,1.17382,1.17106,1.17428,1.16969,1.17174,1.16837,27.6
2026-01-07,1.1688,1.17025,1.16727,1.16768,1.17025,1.16851,1.16987,1.16728,1.16985,1.16727,17.4
2026-01-08,1.16771,1.16828,1.16425,1.16583,1.16828,1.16724,1.16828,1.16687,1.16777,1.16425,10.4
2026-01-09,1.16583,1.16621,1.16179,1.16298,1.16621,1.16459,1.16529,1.16367,1.16604,1.16179,16.2
2026-01-12,1.16294,1.16984,1.16216,1.16681,1.16729,1.16216,1.16957,1.16684,1.16984,1.16628,51.3
2026-01-13,1.16676,1.16776,1.1634,1.16436,1.16705,1.16537,1.16742,1.16529,1.16776,1.1634,16.8
2026-01-14,1.16437,1.16615,1.16354,1.16438,1.165,1.16359,1.16599,1.1641,1.16615,1.16354,14.1
2026-01-15,1.16437,1.16468,1.1593,1.16061,1.16468,1.16298,1.16409,1.16202,1.1625,1.1593,17.0
2026-01-16,1.16061,1.16273,1.15843,1.1595,1.16141,1.16023,1.16233,1.16079,1.16273,1.15843,11.8
2026-01-19,1.15842,1.16487,1.15794,1.1645,1.16378,1.15794,1.16412,1.1611,1.16487,1.16257,58.4
2026-01-20,1.1645,1.17688,1.16324,1.17218,1.16723,1.16324,1.17436,1.16638,1.17688,1.17106,39.9
2026-01-21,1.17218,1.1743,1.16763,1.16846,1.17342,1.17104,1.17357,1.17012,1.1743,1.16763,23.8
2026-01-22,1.16851,1.17563,1.16697,1.1755,1.16972,1.16697,1.17091,1.16841,1.17563,1.17028,27.5
2026-01-23,1.17552,1.18336,1.17283,1.1828,1.17591,1.17414,1.17473,1.17283,1.18336,1.17318,17.7
2026-01-26,1.18891,1.19069,1.18347,1.18753,1.18976,1.18443,1.18674,1.18364,1.19069,1.18347,53.3
2026-01-27,1.18756,1.20822,1.18502,1.20402,1.18993,1.187,1.19342,1.18502,1.20822,1.19141,29.3
2026-01-28,1.2041,1.2045,1.18957,1.19555,1.2045,1.19748,1.20257,1.19617,1.19807,1.18957,70.2
2026-01-29,1.19556,1.19964,1.19059,1.19679,1.19934,1.1952,1.19964,1.19379,1.19725,1.19059,41.4
2026-01-30,1.19694,1.19745,1.18498,1.185,1.19745,1.18948,1.19546,1.18981,1.19244,1.18498,79.7
2026-02-02,1.18487,1.18747,1.17758,1.17882,1.18747,1.18395,1.18712,1.1843,1.18501,1.17758,35.2
2026-02-03,1.17883,1.18288,1.178,1.18164,1.18165,1.17869,1.18243,1.17825,1.18288,1.178,29.6
2026-02-04,1.18164,1.18379,1.17903,1.18047,1.18361,1.18086,1.18379,1.18046,1.18268,1.17903,27.5
2026-02-05,1.18046,1.18218,1.17749,1.17803,1.18082,1.17826,1.18088,1.17802,1.18218,1.17749,25.6
2026-02-06,1.17804,1.1826,1.17654,1.18115,1.18016,1.17654,1.17997,1.17855,1.1826,1.17922,36.2
2026-02-09,1.18141,1.19266,1.18097,1.19113,1.18577,1.18097,1.18829,1.18468,1.19266,1.18815,48.0
2026-02-10,1.1912,1.19285,1.18866,1.18907,1.19169,1.18965,1.19198,1.1891,1.19285,1.18866,20.4
2026-02-11,1.18914,1.19272,1.18331,1.18723,1.19256,1.18862,1.19272,1.18985,1.19044,1.18331,39.4
2026-02-12,1.1872,1.18899,1.18522,1.18711,1.18846,1.18522,1.18878,1.18596,1.18899,1.18561,32.4
2026-02-13,1.18713,1.18846,1.18469,1.18655,1.18734,1.18533,1.18666,1.18469,1.18846,1.18475,20.1
2026-02-16,1.18698,1.18715,1.18462,1.18495,1.18715,1.18589,1.18703,1.18499,1.18634,1.18462,12.6
2026-02-17,1.18497,1.18551,1.18049,1.18517,1.18519,1.18357,1.18497,1.1824,1.18551,1.18049,16.2
2026-02-18,1.18517,1.18573,1.17818,1.17838,1.18573,1.18392,1.18472,1.18284,1.18485,1.17818,18.1
2026-02-19,1.17839,1.18075,1.17418,1.17704,1.18008,1.17839,1.18075,1.17668,1.1778,1.17418,16.9
2026-02-20,1.17702,1.18074,1.17432,1.17814,1.17757,1.17501,1.17707,1.17432,1.18074,1.17551,25.6
2026-02-23,1.17923,1.18346,1.17744,1.1786,1.18346,1.17922,1.18275,1.17744,1.18098,1.17781,42.4
2026-02-24,1.1786,1.17963,1.1766,1.17736,1.17963,1.17679,1.1793,1.17714,1.179,1.1766,28.4
2026-02-25,1.17737,1.18142,1.17709,1.18094,1.18063,1.17724,1.18078,1.17709,1.18142,1.17729,33.9
2026-02-26,1.18096,1.18288,1.17737,1.17967,1.18288,1.18095,1.18186,1.17931,1.18167,1.17737,19.3
2026-02-27,1.17968,1.18268,1.17887,1.18167,1.18131,1.17887,1.18216,1.17927,1.18268,1.17903,24.4
2026-03-02,1.17755,1.17958,1.16717,1.16852,1.17958,1.173,1.17472,1.1698,1.17237,1.16717,65.8
2026-03-03,1.16852,1.17067,1.153,1.16105,1.17067,1.16618,1.16691,1.15818,1.16257,1.153,44.9
2026-03-04,1.16102,1.16546,1.15745,1.16339,1.16202,1.15745,1.16546,1.15921,1.16521,1.16167,45.7
2026-03-05,1.16339,1.16473,1.15587,1.16063,1.16473,1.15875,1.16445,1.15815,1.16243,1.15587,59.8
2026-03-06,1.16062,1.16213,1.15457,1.1617,1.16211,1.16017,1.1618,1.15522,1.16213,1.15457,19.4
2026-03-09,1.15241,1.16454,1.15069,1.16163,1.15713,1.15069,1.15877,1.15152,1.16454,1.15476,64.4
2026-03-10,1.16163,1.16672,1.16027,1.16111,1.16635,1.16069,1.16618,1.16203,1.16672,1.16027,56.6
2026-03-11,1.16115,1.16453,1.15396,1.15425,1.16453,1.16055,1.16212,1.15772,1.16126,1.15396,39.8
2026-03-12,1.15424,1.15662,1.15096,1.15207,1.15554,1.15317,1.15662,1.152,1.15331,1.15096,23.7
2026-03-13,1.15208,1.15296,1.14108,1.14161,1.15296,1.14541,1.14901,1.14328,1.14848,1.14108,75.5
2026-03-16,1.14354,1.15248,1.14139,1.14983,1.14564,1.14139,1.15007,1.14258,1.15248,1.14775,42.5
2026-03-17,1.14984,1.15471,1.14658,1.15387,1.15028,1.14658,1.15435,1.14876,1.15471,1.15181,37.0
2026-03-18,1.15389,1.15551,1.14496,1.14632,1.15492,1.15233,1.15551,1.14905,1.15295,1.14496,25.9
2026-03-19,1.14631,1.16161,1.14429,1.15763,1.14912,1.14506,1.15271,1.14429,1.16161,1.14984,40.6
2026-03-20,1.1576,1.15805,1.15245,1.15694,1.158,1.15523,1.15805,1.1535,1.15718,1.15245,27.7
2026-03-23,1.1562,1.16397,1.14843,1.1608,1.15642,1.15203,1.16196,1.14843,1.16397,1.15763,43.9
2026-03-24,1.16079,1.16282,1.15569,1.16136,1.16176,1.15756,1.16092,1.15671,1.16282,1.15569,42.0
2026-03-25,1.16137,1.16305,1.15552,1.15614,1.16305,1.15867,1.16165,1.15716,1.15892,1.15552,43.8
2026-03-26,1.15613,1.15722,1.15196,1.15343,1.15722,1.15505,1.15649,1.15223,1.15588,1.15196,21.7
2026-03-27,1.15341,1.15476,1.15018,1.15059,1.1546,1.15167,1.15329,1.15018,1.15476,1.15052,29.3
2026-03-30,1.14998,1.15211,1.1443,1.14612,1.15211,1.14877,1.15199,1.14838,1.14887,1.1443,33.4
2026-03-31,1.14624,1.15634,1.14471,1.15535,1.14906,1.14471,1.14911,1.14574,1.15634,1.14869,43.5
2026-04-01,1.15534,1.16271,1.15522,1.15898,1.15787,1.15522,1.16106,1.1562,1.16271,1.15763,26.5
2026-04-02,1.15899,1.16055,1.1509,1.15399,1.16055,1.15248,1.15377,1.1509,1.15638,1.15168,80.7
2026-04-03,1.15402,1.15489,1.15105,1.15105,1.15449,1.15293,1.15489,1.1535,1.15459,1.15105,15.6
2026-04-06,1.15205,1.15713,1.15048,1.15424,1.15295,1.15048,1.15686,1.15218,1.15713,1.15341,24.7
2026-04-07,1.15425,1.1605,1.15239,1.15959,1.15474,1.15239,1.15756,1.15324,1.1605,1.15538,23.5
2026-04-08,1.15968,1.17217,1.15877,1.16655,1.17085,1.15877,1.17102,1.16688,1.17217,1.16433,120.8
2026-04-09,1.16651,1.17234,1.16503,1.17012,1.1671,1.16503,1.16894,1.16541,1.17234,1.16742,20.7
