etiqueta,fecha,hora,dir,v1l,v1h,A,B,entrada,sl,tp,rr,riesgo,res,R,v3
CORTO,08/04/2021,09:10,VENTA,1.17951,1.18777,1.19147,1.18671,1.18909,1.19157,1.17951,3.86,24.8,SL,-1.0,08/04 07:00
PERDEDORA,08/06/2021,13:05,VENTA,1.21039,1.21856,1.22017,1.21642,1.21829,1.22027,1.21039,4.0,19.8,SL,-1.0,08/06 07:00
PERDEDORA,29/12/2021,08:15,COMPRA,1.13028,1.13344,1.12895,1.1306,1.12978,1.12885,1.13344,3.96,9.3,SL,-1.0,29/12 07:00
CORTO,02/10/2023,08:55,VENTA,1.0491,1.05827,1.06169,1.05601,1.05885,1.06179,1.0491,3.32,29.4,TP,3.32,02/10 07:00
PERDEDORA,20/10/2023,10:40,VENTA,1.05231,1.05941,1.06163,1.05649,1.05906,1.06173,1.05231,2.53,26.7,SL,-1.0,20/10 07:00
GANADORA,13/11/2023,13:10,COMPRA,1.06601,1.07254,1.0656,1.07013,1.06786,1.0655,1.07254,1.98,23.6,TP,1.98,13/11 07:00
PERDEDORA,12/03/2024,08:20,COMPRA,1.09183,1.09812,1.09145,1.09393,1.09269,1.09135,1.09812,4.05,13.4,SL,-1.0,12/03 06:00
GANADORA,10/07/2024,09:55,COMPRA,1.08146,1.0845,1.08054,1.08249,1.08152,1.08044,1.0845,2.78,10.7,TP,2.78,10/07 07:00
PERDEDORA,28/03/2025,13:05,VENTA,1.07328,1.08025,1.0821,1.07644,1.07927,1.0822,1.07328,2.04,29.3,SL,-1.0,28/03 06:00
GANADORA,07/05/2025,08:00,VENTA,1.12797,1.13646,1.13808,1.13428,1.13651,1.13818,1.12797,5.11,16.7,TP,5.11,07/05 07:00
GANADORA,23/10/2025,13:00,COMPRA,1.15975,1.16374,1.15767,1.16061,1.15877,1.15757,1.16374,4.14,12.0,TP,4.14,23/10 07:00
GANADORA,17/04/2026,08:15,COMPRA,1.17718,1.18238,1.17668,1.17844,1.17756,1.17658,1.18238,4.92,9.8,TP,4.92,17/04 07:00
